id,date,provid,provdis,provsub,type,sex,diag
61789157,1/13/2021,30,3001,300101,bat,male,neg
61791285,10/5/2021,75,7503,750305,bat,male,neg
61791900,11/29/2021,10,1039,103902,cat,female,neg
61790838,9/16/2021,10,1030,103005,cat,female,unknown
61789470,7/27/2021,10,1012,101203,cat,male,neg
61789467,7/16/2021,10,1015,101504,cat,male,neg
61789457,5/29/2021,10,1008,100801,cat,male,neg
61789456,5/25/2021,10,1044,104401,cat,male,neg
61789449,5/19/2021,10,1020,102009,cat,female,neg
61789444,5/17/2021,10,1008,100801,cat,male,neg
61789441,5/17/2021,10,1008,100801,cat,male,neg
61789440,5/11/2021,10,1008,100801,cat,male,neg
61789438,5/11/2021,10,1008,100801,cat,female,neg
61789436,4/30/2021,10,1020,102009,cat,female,neg
61789433,3/24/2021,10,1012,101203,cat,female,neg
61789432,3/22/2021,10,1003,100307,cat,female,neg
61789419,3/17/2021,10,1035,103503,cat,male,neg
61789418,3/13/2021,10,1011,101101,cat,female,neg
61789409,2/9/2021,10,1039,103902,cat,male,neg
61789405,2/1/2021,10,1014,101401,cat,female,neg
61789399,1/28/2021,10,1030,103001,cat,female,neg
61789395,1/4/2021,10,1046,104601,cat,female,neg
61791633,11/3/2021,11,1102,110201,cat,male,neg
61789849,8/23/2021,11,1101,110115,cat,female,neg
61788496,5/13/2021,11,1104,110401,cat,female,neg
61788495,5/13/2021,11,1104,110401,cat,female,neg
61788493,5/13/2021,11,1101,110115,cat,female,neg
61788494,5/12/2021,11,1104,110401,cat,female,neg
61786955,3/14/2021,11,1106,110603,cat,male,posit
61786789,3/1/2021,11,1101,110115,cat,male,neg
61791393,7/29/2021,12,1204,120403,cat,male,neg
61791392,7/29/2021,12,1204,120404,cat,male,neg
61789465,7/6/2021,12,1204,120402,cat,female,neg
61791401,5/25/2021,12,1201,120109,cat,female,neg
61791399,5/11/2021,12,1201,120107,cat,male,neg
61791398,5/11/2021,12,1201,120108,cat,female,neg
61787757,3/31/2021,12,1203,120304,cat,female,neg
61789421,3/22/2021,12,1204,120402,cat,female,neg
61787755,2/25/2021,12,1205,120501,cat,male,neg
61787759,2/19/2021,12,1206,120605,cat,female,neg
61787758,2/19/2021,12,1206,120606,cat,male,neg
61789412,2/17/2021,12,1205,120506,cat,male,neg
61789396,1/13/2021,12,1204,120404,cat,female,neg
61787753,1/8/2021,12,1206,120611,cat,male,neg
61787752,1/8/2021,12,1205,120506,cat,female,neg
61787751,1/8/2021,12,1206,120608,cat,female,neg
61787750,1/8/2021,12,1206,120601,cat,female,neg
61791317,9/22/2021,13,1305,130505,cat,male,neg
61791316,9/22/2021,13,1305,130504,cat,male,neg
61791315,9/22/2021,13,1305,130501,cat,male,neg
61790834,9/8/2021,13,1306,130607,cat,female,neg
61790833,9/8/2021,13,1307,130705,cat,female,neg
61790831,9/8/2021,13,1307,130704,cat,male,neg
61790830,9/8/2021,13,1307,130702,cat,male,neg
61790828,9/8/2021,13,1302,130207,cat,male,neg
61790827,9/8/2021,13,1305,130506,cat,male,neg
61790826,9/8/2021,13,1304,130405,cat,male,neg
61790824,9/8/2021,13,1304,130402,cat,male,neg
61790823,9/8/2021,13,1304,130401,cat,male,neg
61790821,9/8/2021,13,1304,130401,cat,female,neg
61790257,8/23/2021,13,1301,130105,cat,male,neg
61790256,8/23/2021,13,1301,130104,cat,male,neg
61790255,8/23/2021,13,1301,130107,cat,male,neg
61790254,8/23/2021,13,1301,130103,cat,male,neg
61790253,8/23/2021,13,1301,130109,cat,male,neg
61790252,8/23/2021,13,1301,130106,cat,male,neg
61790251,8/23/2021,13,1301,130102,cat,male,neg
61790250,8/23/2021,13,1301,130114,cat,male,neg
61790249,8/23/2021,13,1301,130108,cat,male,neg
61789901,8/11/2021,13,1305,130502,cat,male,neg
61790501,8/9/2021,13,1301,130111,cat,male,neg
61790500,8/5/2021,13,1301,130112,cat,male,neg
61789670,8/5/2021,13,1307,130707,cat,male,neg
61789669,8/5/2021,13,1307,130710,cat,male,neg
61789668,8/5/2021,13,1307,130711,cat,male,neg
61789667,8/5/2021,13,1301,130110,cat,male,neg
61789666,8/5/2021,13,1301,130113,cat,male,neg
61789665,8/4/2021,13,1301,130108,cat,male,neg
61789664,8/4/2021,13,1303,130302,cat,male,neg
61789663,8/4/2021,13,1303,130306,cat,male,neg
61789662,8/4/2021,13,1303,130304,cat,male,neg
61789661,8/2/2021,13,1303,130301,cat,male,neg
61787788,4/5/2021,13,1301,130112,cat,male,neg
61785813,1/13/2021,13,1303,130302,cat,male,neg
61785812,1/13/2021,13,1301,130105,cat,male,neg
61785720,1/5/2021,13,1306,130602,cat,male,neg
61785719,1/5/2021,13,1306,130601,cat,male,neg
61791678,11/18/2021,14,1405,140505,cat,male,neg
61791677,11/18/2021,14,1415,141512,cat,male,neg
61791676,11/18/2021,14,1415,141511,cat,male,neg
