prov,date,type,gender,diag,year,month
นครพนม,8/10/2023,Dog,male,not_test,2023,8
นครพนม,8/10/2023,Dog,female,not_test,2023,8
นครพนม,8/10/2023,Dog,male,not_test,2023,8
นครพนม,8/10/2023,Dog,female,not_test,2023,8
นครพนม,8/10/2023,Dog,female,not_test,2023,8
นครพนม,8/10/2023,Dog,male,not_test,2023,8
นครพนม,8/10/2023,Rodent,male,not_test,2023,8
นครพนม,8/10/2023,Dog,female,not_test,2023,8
หนองบัวลำภู,7/20/2023,Cat,male,Negative,2023,7
ขอนแก่น,7/19/2023,Dog,female,Negative,2023,7
ขอนแก่น,7/19/2023,Cat,male,Negative,2023,7
มุกดาหาร,7/19/2023,Dog,male,Negative,2023,7
นครพนม,7/18/2023,Dog,male,Negative,2023,7
อุดรธานี,7/12/2023,Dog,female,Negative,2023,7
นครพนม,7/11/2023,Dog,male,Negative,2023,7
นครพนม,7/11/2023,Dog,female,Negative,2023,7
นครพนม,7/11/2023,Dog,female,Negative,2023,7
นครพนม,7/11/2023,Rodent,male,Negative,2023,7
นครพนม,7/11/2023,Rodent,male,Negative,2023,7
ขอนแก่น,7/5/2023,Dog,male,Negative,2023,7
ขอนแก่น,7/5/2023,Cat,male,Negative,2023,7
มุกดาหาร,6/29/2023,Dog,male,Negative,2023,6
มุกดาหาร,6/29/2023,Dog,female,Negative,2023,6
ขอนแก่น,6/29/2023,Cat,male,Negative,2023,6
ขอนแก่น,6/29/2023,Cat,female,Negative,2023,6
ขอนแก่น,6/27/2023,Cat,female,Negative,2023,6
ขอนแก่น,6/27/2023,Dog,male,Negative,2023,6
เลย,6/26/2023,Dog,female,Positive,2023,6
ขอนแก่น,6/22/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/22/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/22/2023,Dog,male,Negative,2023,6
นครพนม,6/22/2023,Dog,female,Negative,2023,6
นครพนม,6/22/2023,Dog,male,Negative,2023,6
กาฬสินธุ์,6/21/2023,Dog,female,Negative,2023,6
ขอนแก่น,6/20/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/20/2023,Cat,male,Negative,2023,6
เลย,6/20/2023,Cat,male,Negative,2023,6
เลย,6/20/2023,Dog,male,Negative,2023,6
เลย,6/20/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/19/2023,Cat,male,Negative,2023,6
ขอนแก่น,6/19/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/19/2023,Cat,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/16/2023,Dog,male,Negative,2023,6
มหาสารคาม,6/14/2023,Cat,female,Negative,2023,6
กาฬสินธุ์,6/13/2023,Dog,male,Negative,2023,6
ขอนแก่น,6/12/2023,Cat,female,Negative,2023,6
อุดรธานี,6/9/2023,Dog,male,Negative,2023,6
มหาสารคาม,6/9/2023,Dog,male,Positive,2023,6
เลย,6/8/2023,Dog,female,Negative,2023,6
เลย,6/8/2023,Dog,male,Negative,2023,6
